-2	0
-1.96	0
-1.92	0
-1.88	0
-1.84	0
-1.8	0
-1.76	0
-1.72	0
-1.68	0
-1.64	0
-1.6	0
-1.56	0
-1.52	0
-1.48	0
-1.44	0
-1.4	0
-1.36	0
-1.32	0
-1.28	0
-1.24	0
-1.2	0
-1.16	0
-1.12	0
-1.08	0
-1.04	0
-1	0.019425
-0.96	0.058225
-0.92	0.094975
-0.88	0.1333
-0.84	0.16385
-0.8	0.198825
-0.76	0.225625
-0.72	0.253025
-0.68	0.282375
-0.64	0.30485
-0.6	0.334575
-0.56	0.35575
-0.52	0.37585
-0.48	0.39445
-0.44	0.40805
-0.4	0.424075
-0.36	0.4396
-0.32	0.455825
-0.28	0.466375
-0.24	0.469
-0.2	0.4839
-0.16	0.4923
-0.12	0.49755
-0.08	0.495675
-0.04	0.499825
0	0.493825
0.04	0.49655
0.08	0.492625
0.12	0.4891
0.16	0.4861
0.2	0.4828
0.24	0.46405
0.28	0.460425
0.32	0.439025
0.36	0.427275
0.4	0.417025
0.44	0.39085
0.48	0.36985
0.52	0.3497
0.56	0.334575
0.6	0.3091
0.64	0.28835
0.68	0.25485
0.72	0.227475
0.76	0.19815
0.8	0.164825
0.84	0.1316
0.88	0.095825
0.92	0.0571
0.96	0.020725
1	0
1.04	0
1.08	0
1.12	0
1.16	0
1.2	0
1.24	0
1.28	0
1.32	0
1.36	0
1.4	0
1.44	0
1.48	0
1.52	0
1.56	0
1.6	0
1.64	0
1.68	0
1.72	0
1.76	0
1.8	0
1.84	0
1.88	0
1.92	0
1.96	0
