-2	0
-1.92	0
-1.84	0
-1.76	0
-1.68	0
-1.6	0
-1.52	0
-1.44	0
-1.36	0
-1.28	0
-1.2	0
-1.12	0
-1.04	0.0097125
-0.96	0.0766
-0.88	0.148575
-0.8	0.212225
-0.72	0.2677
-0.64	0.319713
-0.56	0.3658
-0.48	0.40125
-0.4	0.431837
-0.32	0.4611
-0.24	0.47645
-0.16	0.494925
-0.08	0.49775
0	0.495188
0.08	0.490862
0.16	0.48445
0.24	0.462238
0.32	0.43315
0.4	0.403938
0.48	0.359775
0.56	0.321837
0.64	0.2716
0.72	0.212812
0.8	0.148212
0.88	0.0764625
0.96	0.0103625
1.04	0
1.12	0
1.2	0
1.28	0
1.36	0
1.44	0
1.52	0
1.6	0
1.68	0
1.76	0
1.84	0
1.92	0
